object_name,clip_ds_score,editing_prompt
couch_6_bioluminescent,0.1114,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
bed_1_art_deco,0.0041,"a luxurious art deco style bed, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_102_glass,0.0664,"a sleek, modern table, made of translucent frosted glass with minimalist design"
couch_9_medieval,0.0768,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
table_104_medieval,0.0708,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
couch_8_yellow,0.3009,a yellow couch
chair_102_art_deco,0.2091,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_5_glass,0.0903,"a sleek, modern table, made of translucent frosted glass with minimalist design"
table_7_yellow,0.1359,a yellow table
table_107_wooden,0.1145,"a cozy table, made of warm, natural oak wood with a smooth finish"
couch_9_ghibli,0.1567,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
couch_3_claymation,0.0627,"a charming claymation couch, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
couch_105_cyberpunk,0.2000,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
couch_102_cyberpunk,0.1565,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
table_107_ghibli,0.1156,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
table_104_steampunk,0.1012,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_103_steampunk,0.1707,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_2_ghibli,0.0996,"a couch in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
bed_101_glass,-0.0347,"a sleek, modern bed, made of translucent frosted glass with minimalist design"
chair_5_yellow,0.0937,a yellow chair
table_4_bioluminescent,0.0958,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
couch_102_medieval,0.0158,"an ornate medieval-style couch, crafted from dark heavy wood and wrought iron details"
cabinet_1_art_deco,0.1763,"a luxurious art deco style cabinet, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_3_cyberpunk,0.0635,"a cyberpunk table, made of dark chrome and glowing purple circuits"
chair_107_yellow,0.2723,a yellow chair
table_101_wooden,0.0599,"a cozy table, made of warm, natural oak wood with a smooth finish"
couch_8_cyberpunk,0.1788,"a cyberpunk couch, made of dark chrome and glowing purple circuits"
table_8_medieval,0.0271,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
cabinet_1_steampunk,0.1249,"a masterpiece steampunk cabinet, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
table_107_medieval,0.0978,"an ornate medieval-style table, crafted from dark heavy wood and wrought iron details"
table_7_art_deco,0.0656,"a luxurious art deco style table, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
chair_106_yellow,0.2812,a yellow chair
chair_103_bioluminescent,0.1786,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_106_wooden,0.1026,"a cozy chair, made of warm, natural oak wood with a smooth finish"
couch_102_wooden,0.0213,"a cozy couch, made of warm, natural oak wood with a smooth finish"
chair_104_ghibli,0.0686,"a chair in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
bed_101_ghibli,-0.0520,"a bed in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_5_bioluminescent,0.1282,"a magical chair made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_107_cyberpunk,0.2579,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
chair_104_glass,0.1853,"a sleek, modern chair, made of translucent frosted glass with minimalist design"
table_6_ghibli,0.1114,"a table in a cozy, beautiful anime style, hand-drawn with soft pastel colors, watercolor art, by Studio Ghibli, trending on pixiv"
chair_5_claymation,0.0243,"a charming claymation chair, stop-motion style, made of plasticine clay with visible fingerprints, Aardman Animations aesthetic, soft volumetric lighting"
table_106_steampunk,0.0510,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
chair_102_cyberpunk,0.1683,"a cyberpunk chair, made of dark chrome and glowing purple circuits"
couch_2_bioluminescent,0.1453,"a magical couch made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
shelf_101_yellow,0.0705,a yellow shelf
table_6_bioluminescent,0.1119,"a magical table made of bioluminescent plants and glowing mushrooms, intertwined with fantasy vines, ethereal, cinematic, Avatar movie style"
chair_106_art_deco,0.1390,"a luxurious art deco style chair, carved from white marble with intricate gold inlay, elegant and geometric, studio lighting, high detail"
table_6_wooden,0.0078,"a cozy table, made of warm, natural oak wood with a smooth finish"
table_6_steampunk,0.0739,"a masterpiece steampunk table, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_4_steampunk,0.0487,"a masterpiece steampunk couch, intricate brass and copper gears, polished mahogany, detailed mechanical parts, cinematic lighting"
couch_104_wooden,0.0350,"a cozy couch, made of warm, natural oak wood with a smooth finish"
table_6_glass,0.1416,"a sleek, modern table, made of translucent frosted glass with minimalist design"
